,track.name,playlist_name,lyrics,language
1,Mi Gente (feat. Beyoncé),Obama's Favorite Songs of 2017,"Si el ritmo te lleva a mover la cabeza ya empezamos como es
Mi música no discrimina a nadie así que vamos a romper
Toda mi gente se mueve
Mira el ritmo cómo los tiene
Hago música que entretiene
El mundo nos quiere, nos quiere, y me quiere a mí
Toda mi gente se mueve
Mira el ritmo cómo los tiene
Hago música que entretiene
Mi música los tiene fuerte bailando y se baila así
Estamos rompiendo la discoteca
La fiesta no para, apenas comienza
C'est comme-çi
C'est comme-ça
Ma chérie
La la la la la
Francia
Colombia
Me gusta (Freeze)
J Balvin
Willy William
Me gusta (Freeze)
Los DJ's no mienten
Le gusta a mi gente
Eso se fue mundial (Freeze)
No le pagamos
Mas nunca paramos
Es otro palo
Y dónde está mi gente
Mais fais bouger la tête
Y dónde está mi gente
Say yeah, yeah, yeah (Un, dos, tres)
De esquina a esquina
Y ahí nos vamos
El mundo es grande pero lo tengo en mi mano
Estoy muy duro, sí
Okay, ahí vamo'
Y con el tiempo nos seguimos elevando
Que seguimos rompiendo aquí
Esta fiesta no tiene fin
Botellas para arriba sí
Los tengo bailando rompiendo y yo sigo aquí
Que seguimos rompiendo aquí
Esta fiesta no tiene fin
Botellas para arriba sí
Los tengo bailando rompiendo
Y dónde está mi gente
Mais fais bouger la tête
Y dónde está mi gente
Say yeah, yeah, yeah (Un, dos, tres)
World wide
Willy William
J Balvin, man
Ajá
Ajá
Ajá
Ajá",spanish
2,Havana,Obama's Favorite Songs of 2017,"Havana, ooh na-na
Half of my heart is in Havana, ooh-na-na
He took me back to East Atlanta, na-na-na
All of my heart is in Havana
There's somethin' 'bout his manners
Havana, ooh-na-na
He didn't walk up with that ""How you doin'?""
He said there's a lot of girls I can do with
I knew him forever in a minute
And papa says he got malo in him
He got me feelin' like, oooh-oooh-ooh
I knew it when I met him
I loved him when I left him
Got me feelin' like, ooh-oooh-ooh
And then I had to tell him
I had to go...
Oh na-na-na-na-na
Havana, ooh na-na
Half of my heart is in Havana, ooh-na-na
He took me back to East Atlanta, na-na-na
All of my heart is in Havana
My heart is in Havana
Havana, ooh na-na
Oooh-oooh-ooh
I knew it when I met him
I loved him when I left him
Got me feelin' like, ooh-oooh-ooh
And then I had to tell him
I had to go...
Oh na-na-na-na-na
Havana, ooh na-na
Half of my heart is in Havana, ooh-na-na
He took me back to East Atlanta, na-na-na
All of my heart is in Havana
My heart is in Havana
Havana, ooh na-na",english
3,Blessed,Obama's Favorite Songs of 2017,"Everywhere that I go, everywhere that I be
If you are not surrounding me with your energy
I don't wanna be there, don't wanna be anywhere
Any place that I can't feel you, I just wanna be near you
And yes, I'm a mess but I'm blessed
To be stuck with you
Sometimes it gets unhealthy
We can't be by ourselves, we
We'll always need each other, and
Yes, I'm a mess but I'm blessed
To be stuck with you
I just want you to know that
If I could I swear I'll go back
Make everything all better, whoa
It's the things that you say
It's the way that you pray
Pray on my insecurities
I know you're feeling me
I know sometimes I do wrong
But hear the words of this song
When I go I don't stay gone for long
Don't know what's going on
And yes, I'm a mess but I'm blessed
To be stuck with you
Sometimes it gets unhealthy
We can't be by ourselves, we
We'll always need each other, and
Yes, I'm a mess but I'm blessed
To be stuck with you
I just want you to know that
If I could I swear I'll go back
Make everything all better, whoa
And I'm coming back home to you
And I'm coming back home to you
I'm coming back home
I'm coming back home to you
I'm coming back home
I'm coming back home to you
I'm coming back home
I'm coming back home to you
I'm coming back home
I'm coming back home to you
I'm coming back home
I'm coming back home to you
I'm coming back home
And yes, I'm a mess but I'm blessed
To be stuck with you
Sometimes it gets unhealthy
We can't be by ourselves, we
We'll always need each other, and
Yes, I'm a mess but I'm blessed
To be stuck with you
I just want you to know that
If I could I swear I'll go back
Make everything all better, whoa",english
4,The Joke,Obama's Favorite Songs of 2017,"You're feeling nervous, aren't you, boy?
With your quiet voice and impeccable style
Don't ever let them steal your joy
And your gentle ways, to keep 'em from running wild
They can kick dirt in your face
Dress you down, and tell you that your place
Is in the middle, when they hate the way you shine
I see you tugging on your shirt
Trying to hide inside of it and hide how much it hurts
Let 'em laugh while they can
Let 'em spin, let 'em scatter in the wind
I have been to the movies, I've seen how it ends
And the joke's on them
You get discouraged, don't you, girl?
It's your brother's world for a while longer
We gotta dance with the devil on a river
To beat the stream
Call it living the dream, call it kicking the ladder
They come to kick dirt in your face
To call you weak and then displace you
After carrying your baby on your back across the desert
I saw your eyes behind your hair
And you're looking tired, but you don't look scared
Let 'em laugh while they can
Let 'em spin, let 'em scatter in the wind
I have been to the movies, I've seen how it ends
And the joke's on them
Let 'em laugh while they can
Let 'em spin, let 'em scatter in the wind
I have been to the movies, I've seen how it ends
And the joke's on them",english
5,Rise Up,Obama's Favorite Songs of 2017,"You're broken down and tired
Of living life on a merry go round
And you can't find the fighter
But I see it in you so we gonna walk it out
And move mountains
We gonna walk it out
And move mountains
And I'll rise up
I'll rise like the day
I'll rise up
I'll rise unafraid
I'll rise up
And I'll do it a thousand times again
And I'll rise up
High like the waves
I'll rise up
In spite of the ache
I'll rise up
And I'll do it a thousands times again
For you
For you
For you
For you
When the silence isn't quiet
And it feels like it's getting hard to breathe
And I know you feel like dying
But I promise we'll take the world to its feet
And move mountains
We'll take it to its feet
And move mountains
And I'll rise up
I'll rise like the day
I'll rise up
I'll rise unafraid
I'll rise up
And I'll do it a thousand times again
For you
For you
For you
For you
All we need, all we need is hope
And for that we have each other
And for that we have each other
We will rise
We will rise
We'll rise, oh oh
We'll rise
I'll rise up
Rise like the day
I'll rise up
In spite of the ache
I will rise a thousands times again
And we'll rise up
Rise like the waves
We'll rise up
In spite of the ache
We'll rise up
And we'll do it a thousands times again
For you oh oh oh oh oh
For you oh oh oh oh oh
For you oh oh oh oh oh
For you",english
6,Wild Thoughts (feat. Rihanna & Bryson Tiller),Obama's Favorite Songs of 2017,"Another one
We The Best music
DJ Khaled
I don't know if you could take it
Know you wanna see me nakey, nakey, naked
I wanna be your baby, baby, baby
Spinning and it's wet just like it came from Maytag
White girl wasted on that brown liquor
When I get like this I can't be around you
I'm too lit to dim down a notch
'Cause I could name some thangs that I'm gon' do
Wild, wild, wild
Wild, wild, wild thoughts
Wild, wild, wild
When I'm with you, all I get is wild thoughts
Wild, wild, wild
When I'm with you, all I get is wild thoughts
Let's go!
I hope you know I'm for the takin'
You know this cookie is for the baking (ugh)
Kitty, kitty, baby give that thing some rest
'Cause you done beat it like the '68 Jets
Diamonds ain't nothing when I'm rockin' with ya
Diamonds ain't nothing when I'm shinin' with ya
Just keep it white and black as if I'm ya sista
I'm too hip to hop around town out here with ya
Wild, wild, wild
Wild, wild, wild thoughts
Wild, wild, wild
When I'm with you, all I get is wild thoughts
Wild, wild, wild
When I'm with you, all I get is wild thoughts
Ayy, I heard that pussy for the taking
I heard it got these other niggas goin' crazy
Yeah I treat you like a lady, lady
Fuck you 'til you're burned out, cremation
Make it cream, yeah, Wu-Tang
Throw that ass back, bouquet
Call me and I can get it juicy
I can tell you're gone off the D'usse
Careful mama watch what you say
You talking to me like ya new bae
Girl, talking to me like you tryna do things
Now that pipe got her running like she Usain, baby
You made me drown in it, touche, baby
I'm carrying that water, Bobby Boucher, baby
You know I'ma slaughter like I'm Jason
Bust it, why you got it on safety?
White girl wasted on brown liquor
I probably shouldn't be around you
'Cause you get wild, wild, wild
You looking like there's nothing that you won't do
Ayy, girl that's when I told you
Wild, wild, wild
Wild, wild, wild thoughts
Wild, wild, wild
When I'm with you, all I get is wild thoughts
Wild, wild, wild
When I'm with you, all I get is wild thoughts
DJ Khaled!
Wild, wild, wild
Wild, wild, wild
When I'm with you, all I get is wild thoughts",english
7,HUMBLE.,Obama's Favorite Songs of 2017,"Nobody pray for me
Even a day for me
Way (yeah, yeah!)
Ay, I remember syrup sandwiches and crime allowances
Finesse a nigga with some counterfeits
But now I'm countin' this
Parmesan where my accountant lives
In fact, I'm downin' this
D'USSÉ with my boo bae, tastes like Kool-Aid for the analysts
Girl, I can buy yo' ass the world with my paystub
Ooh, that pussy good, won't you sit it on my taste bloods?
I get way too petty once you let me do the extras
Pull up on your block, then break it down: we playin' Tetris
A.M. to the P.M., P.M. to the A.M., funk
Piss out your per diem, you just gotta hate 'em, funk
If I quit your BM, I still ride Mercedes, funk
If I quit this season, I still be the greatest, funk
My left stroke just went viral
Right stroke put lil' baby in a spiral
Soprano C, we like to keep it on a high note
Its levels to it, you and I know, bitch, be humble
sit down
(Hol' up lil' bitch, hol' up lil' bitch) be humble
(Hol' up, bitch) sit down
(Sit down, hol' up, lil' bitch)
Be humble (bitch)
(Hol' up, hol' up, hol' up, hol' up) bitch, sit down
Lil' bitch (hol' up, lil' bitch) be humble
(Hol' up, bitch) sit down
(Hol' up, hol' up, hol' up, hol' up) be humble
(Hol' up, hol' up, hol' up, hol' up, lil' bitch) sit down
(Hol' up lil' bitch) be humble
(Hol' up, bitch) sit down
(Hol' up, sit down, lil' bitch)
(Sit down, lil' bitch, be humble)
(Hol' up, hol' up, hol' up, hol' up, lil' bitch) bitch, sit down
(Hol' up, bitch) be humble
(Hol' up, bitch) sit down
(Hol' up, hol' up, hol' up, hol' up)
Who dat nigga thinkin' that he frontin' on man, man? (Man, man)
Get the fuck off my stage, I'm the Sandman (Sandman)
Get the fuck off my dick, that ain't right
I make a play fuckin' up your whole life
I'm so fuckin' sick and tired of the Photoshop
Show me somethin' natural like afro on Richard Pryor
Show me somethin' natural like ass with some stretchmarks
Still will take you down right on your mama's couch in Polo socks, ay
This shit way too crazy, ay, you do not amaze me, ay
I blew cool from AC, ay, Obama just paged me, ay
I don't fabricate it, ay, most of y'all be fakin', ay
I stay modest 'bout it, ay, she elaborate it, ay
This that Grey Poupon, that Evian, that TED Talk, ay
Watch my soul speak, you let the meds talk, ay
If I kill a nigga, it won't be the alcohol, ay
I'm the realest nigga after all, bitch, be humble
sit down
(Hol' up lil' bitch, hol' up lil' bitch) be humble
(Hol' up, bitch) sit down
(Sit down, hol' up, lil' bitch)
Be humble (bitch)
(Hol' up, hol' up, hol' up, hol' up) bitch, sit down
Lil' bitch (hol' up, lil' bitch) be humble
(Hol' up, bitch) sit down
(Hol' up, hol' up, hol' up, hol' up) be humble
(Hol' up, hol' up, hol' up, hol' up, lil' bitch) sit down
(Hol' up lil' bitch) be humble
(Hol' up, bitch) sit down
(Hol' up, sit down, lil' bitch)
(Sit down, lil' bitch, be humble)
(Hol' up, hol' up, hol' up, hol' up, lil' bitch) bitch, sit down
(Hol' up, bitch) be humble
(Hol' up, bitch) sit down
(Hol' up, hol' up, hol' up, hol' up)",english
8,La Dame et Ses Valises,Obama's Favorite Songs of 2017,"Turn me up

As we work, we look we lose
Because when things go wrong we still be strong

No matter what they bring we still believe
Because when things go wrong we still be here
Feel me on my way or hand it to, what’s your baggage?
With all this mind I want to see your baggage

When things are hard you must work great
Because when things go hard you beat on your head

I see the way you work your hurt
Because you’ve been inside that darkness for too long
Woman don’t you know you’re a queen
As you the queen is always gone, so keep it clean
But you sure remind them what they have done to you

You must walk out
You can go wrong in this, you can’t go on
Turn me up

As we walk we work we lose
Because when things go wrong we still be strong
Keep your eyes open
Keep your eyes open
Keep your bags on the road
",english
9,Unforgettable,Obama's Favorite Songs of 2017,"It's not good enough for me, since I been with you
It's not gonna work for you, nobody can equal me
I'm gonna sip on this drink, when I'm fucked up
I should know how to pick up
I'm gonna catch the rhythm while she push up against me
Ooh, and she tipsy
I had enough convo for 24
I peep'd you from across the room
Pretty little body, dancing like GoGo, aye
But you are unforgettable
I need to get you alone
Why not?
A fucking good time, never hurt nobody
I got a little drink but it's not Bacardi
If you loved the girl then I'm so, so sorry
I got to give it to her like we in a marriage
Oh, like we in a hurry
No, no I won't tell nobody
You're on your level too
Tryna do what lovers do
Feelin' like I'm fresh out, Boosie
If they want the drama, got the Uzi
Ship the whole crew to the cruise ship
Doin' shit you don't even see in movies
Ride with me
Ride with me, boss
I got a hard head but her ass soft
She want the last name with the ring on it
'Cause I pulled out a million cash, told her plank on it
You are unforgettable
I wanna get you alone
Now you wanna chose
Just popped bubbly in the 'cuzi
It's not good enough for me, since I been with you
I'm gonna sip on this drink, when I'm fucked up
I should know how to pick up
I'm gonna catch the rhythm while she push up against me
Ooh, and she tipsy
I had enough convo for 24
I peep'd you from across the room
Pretty little body, dancing like GoGo
But you are unforgettable
I need to get you alone
Why not?
A fucking good time, never hurt nobody
I got a little drink but it's not Bacardi
If you loved your girl then I'm so, so sorry
I got to give it to her like we in a marriage
Oh, like we in a hurry
No, no I won't tell nobody
You're on your level too
Tryna do what lovers do
Oh oh, you ain't enough for me
Too much for you
Alone
Baby go and grab some bad bitches, bring 'em home
Know the jet's on me
I'ma curve my best for you
You know, so pick up that dress for me
Leave the rest home
Too much combo 24 hours
When you stand next to 24 karats
She left her man at home
She don't love him no more
I want your mind and your body
Don't mind nobody
So as long you don't never hurt nobody
Baby girl work your body
Work your body
And you are unforgettable
I need get you alone
Now you wanna chose
Just popped bubbly in the 'cuzi
Right now
Oh, like we in a hurry
No, no I won't tell nobody
You're on your level too
Tryna do what lovers do",english
10,The System Only Dreams in Total Darkness,Obama's Favorite Songs of 2017,"Maybe I listen more than you think
And I can tell that somebody sold you
We said we've never let anyone in
We said we'd only die of lonely secrets
The system only dreams in total darkness
Why are you hiding from me?
We're in a different kind of thing now
All night you're talking to God
I thought that this would all work out after a while
Now you're saying that I'm asking for too much attention
Also no other faith is light enough for this place
We said we'd only die of lonely secrets
The system only dreams in total darkness
Why are you hiding from me?
We're in a different kind of thing now
All night you're talking to God
And I cannot explain it
Oh, any other, any other way
I cannot explain it
Oh, any other, any other way
The system only dreams in total darkness
Why are you hiding from me?
We're in a different kind of thing now
All night you're talking to God
And I cannot explain it
Oh, any other, any other way
I cannot explain it
Oh, any other, any other way
I cannot explain it
Oh, any other, any other way
I cannot explain it
Oh, any other, any other way",english
